Algorithm,Seed,Episode,EpisodeHotelRevenue,EpisodeOTAProfit,EpisodeSystemProfit,EpisodeRevenue
Multivariate CEM,2,1,3859394.5403071474,311672.2026944803,4171066.7430016277,3859394.5403071474
Multivariate CEM,2,2,4150808.956404979,273431.48046139046,4424240.436866369,4150808.956404979
Multivariate CEM,2,3,4453972.809007727,232861.5940715006,4686834.403079228,4453972.809007727
Multivariate CEM,2,4,4654588.434860516,212033.13172697308,4866621.566587489,4654588.434860516
Multivariate CEM,2,5,4717279.567023302,200395.7578668424,4917675.324890145,4717279.567023302
Multivariate CEM,2,6,4820031.235849615,192423.34560249673,5012454.581452112,4820031.235849615
Multivariate CEM,2,7,4890780.447946094,193280.9745241171,5084061.422470211,4890780.447946094
Multivariate CEM,2,8,4950580.606137251,186757.3594944964,5137337.965631747,4950580.606137251
Multivariate CEM,2,9,4943096.670801059,181201.84425820594,5124298.515059265,4943096.670801059
Multivariate CEM,2,10,5042534.718583213,177127.59156602147,5219662.310149235,5042534.718583213
Multivariate CEM,2,11,5076551.636064412,177090.4100055493,5253642.046069961,5076551.636064412
Multivariate CEM,2,12,5110058.492113942,165010.9554811233,5275069.447595065,5110058.492113942
Multivariate CEM,2,13,5159388.597179591,168726.2994641024,5328114.896643694,5159388.597179591
Multivariate CEM,2,14,5091456.29116396,166930.07373505065,5258386.36489901,5091456.29116396
Multivariate CEM,2,15,5133323.161857515,163490.52552198895,5296813.687379504,5133323.161857515
Multivariate CEM,2,16,5153541.499792451,161513.05404970396,5315054.553842155,5153541.499792451
Multivariate CEM,2,17,5173644.005649629,158832.78464024488,5332476.790289874,5173644.005649629
Multivariate CEM,2,18,5166573.498078612,152669.38878206516,5319242.886860677,5166573.498078612
Multivariate CEM,2,19,5208177.492765608,158957.26203555998,5367134.754801168,5208177.492765608
Multivariate CEM,2,20,5181055.889619227,155218.80709366445,5336274.696712891,5181055.889619227
Multivariate CEM,2,21,5157597.11885784,148348.90642572593,5305946.025283566,5157597.11885784
Multivariate CEM,2,22,5195997.233696005,148909.14586643502,5344906.37956244,5195997.233696005
Multivariate CEM,2,23,5175769.560478114,147377.95220648238,5323147.512684596,5175769.560478114
Multivariate CEM,2,24,5201696.856388552,146270.74689014806,5347967.6032787,5201696.856388552
Multivariate CEM,2,25,5219772.550820256,148686.66457947966,5368459.215399736,5219772.550820256
Multivariate CEM,2,26,5207586.659972954,150817.83060092802,5358404.490573881,5207586.659972954
Multivariate CEM,2,27,5233644.257597432,150538.63642300238,5384182.894020434,5233644.257597432
Multivariate CEM,2,28,5207444.057948767,145085.5203555781,5352529.578304346,5207444.057948767
Multivariate CEM,2,29,5210780.590054327,145898.14336114947,5356678.733415476,5210780.590054327
Multivariate CEM,2,30,5237235.770285264,148316.44954527335,5385552.219830537,5237235.770285264
Multivariate CEM,2,31,5227820.095955035,148797.25353018107,5376617.349485216,5227820.095955035
Multivariate CEM,2,32,5222278.764363927,154954.8475685662,5377233.611932493,5222278.764363927
Multivariate CEM,2,33,5240396.8750803005,148570.9719903761,5388967.847070676,5240396.8750803005
Multivariate CEM,2,34,5238714.061883331,140271.74262731476,5378985.804510646,5238714.061883331
Multivariate CEM,2,35,5222658.363528052,148955.6893797152,5371614.052907768,5222658.363528052
Multivariate CEM,2,36,5243978.194305343,152116.2985170453,5396094.492822388,5243978.194305343
Multivariate CEM,2,37,5238585.161554692,143276.95527978666,5381862.116834479,5238585.161554692
Multivariate CEM,2,38,5237180.780727044,155655.59425145303,5392836.374978497,5237180.780727044
Multivariate CEM,2,39,5232551.377298022,151761.33289738762,5384312.710195409,5232551.377298022
Multivariate CEM,2,40,5237972.777260298,156220.314509923,5394193.091770221,5237972.777260298
Multivariate CEM,2,41,5237706.746666664,155854.21539861342,5393560.962065278,5237706.746666664
Multivariate CEM,2,42,5235970.89606906,157491.5442163484,5393462.440285409,5235970.89606906
Multivariate CEM,2,43,5263049.120486821,154856.73360372952,5417905.854090551,5263049.120486821
Multivariate CEM,2,44,5221142.854916099,156940.99585181533,5378083.850767915,5221142.854916099
Multivariate CEM,2,45,5256439.937804592,151854.99103716842,5408294.92884176,5256439.937804592
Multivariate CEM,2,46,5252910.475415682,154878.78943287476,5407789.264848557,5252910.475415682
Multivariate CEM,2,47,5252513.891494005,153710.04522809648,5406223.936722102,5252513.891494005
Multivariate CEM,2,48,5226069.581949535,153940.42931706968,5380010.011266604,5226069.581949535
Multivariate CEM,2,49,5264840.944140441,153081.39193201438,5417922.336072455,5264840.944140441
Multivariate CEM,2,50,5256828.123330717,157146.51354590984,5413974.636876627,5256828.123330717
Multivariate CEM,2,51,5263808.010618987,154306.38537535258,5418114.395994339,5263808.010618987
Multivariate CEM,2,52,5239949.228849562,152355.85721274107,5392305.086062303,5239949.228849562
Multivariate CEM,2,53,5255371.989565808,149925.06949744906,5405297.059063258,5255371.989565808
Multivariate CEM,2,54,5281432.3591986485,154033.90941807488,5435466.268616723,5281432.3591986485
Multivariate CEM,2,55,5242649.376798491,151252.53852130487,5393901.915319796,5242649.376798491
Multivariate CEM,2,56,5242318.782056806,152132.13144916377,5394450.91350597,5242318.782056806
Multivariate CEM,2,57,5213587.577556029,153669.26755274108,5367256.84510877,5213587.577556029
Multivariate CEM,2,58,5232926.187666672,149865.71796971984,5382791.9056363925,5232926.187666672
Multivariate CEM,2,59,5257213.902842723,156155.06046755335,5413368.963310276,5257213.902842723
Multivariate CEM,2,60,5218002.546158809,154025.6628059489,5372028.208964759,5218002.546158809
