Compare,Welch_t_stat,Welch_p,MWU_stat,MWU_p,MeanDiff,MWU_p_holm
Multivariate CEM vs Independent CEM,-0.6715673212150269,0.5215607019341402,10.0,0.6904761904761905,-3070.9738152659556,0.6904761904761905
Multivariate CEM vs PPO,-61.14858638636301,4.057973749072412e-07,0.0,0.007936507936507936,-217427.9075014896,0.023809523809523808
Multivariate CEM vs Q-learning,-4.209985358998383,0.012531080528339199,0.0,0.007936507936507936,-108215.41012844566,0.023809523809523808
