Compare,Welch_t_stat,Welch_p,MWU_stat,MWU_p,MeanDiff,MWU_p_holm
Multivariate CEM vs Independent CEM,-1.3566800838166728,0.2119854152993167,6.0,0.2222222222222222,-14163.096624610946,0.2222222222222222
Multivariate CEM vs PPO,97.36501528455901,5.5463832124233534e-08,25.0,0.007936507936507936,705955.886008284,0.023809523809523808
Multivariate CEM vs Q-learning,9.711540570648772,0.0005542759183948675,25.0,0.007936507936507936,618900.2563786535,0.023809523809523808
