episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,2932588.3771370756,143986.79991589626,11359,16130,112562.33649557563,9.909528699319978,0.0806312122681872
2,2988564.3450680953,145610.28822302664,11556,16898,110070.57513322325,9.52497188761018,0.40692379549102264
3,2991852.7524135015,141368.44239321607,11204,17545,103855.2568295517,9.269480259688656,0.16514964184077802
4,3046375.403749564,140717.8462521893,11192,18166,101606.26491271799,9.078472561894031,0.7365905455705448
5,3022029.9114161693,141335.7299604073,11348,18261,100443.844646249,8.851237631851339,0.0
6,3067267.1967359586,140749.7176888502,11205,19193,94665.80700747362,8.448532530787471,0.6597171349177404
7,3089099.944452336,136155.58722675106,10723,19755,91138.57940927568,8.499354603121859,0.5225919592437112
8,3108364.7362797274,129357.27823089542,10018,20714,84215.64390285296,8.406432811225091,0.4334747843229133
9,3108174.035985213,131999.63717119166,10226,20699,84651.28747921296,8.278044932447973,0.35281985319399756
10,3106127.436720724,133847.76882398088,10297,20840,81339.38611861541,7.8993285538132865,0.43601320005623273
11,3091560.875268576,131312.89035615092,9978,21100,77275.67404717958,7.744605536899136,0.5979440278804254
12,3116995.4026920325,124290.94365266671,9420,21910,73390.48587339971,7.790922067239884,0.399334748331608
13,3120537.5055516222,126096.85093131127,9597,21812,74393.62378382897,7.751758235264037,0.2344658395774917
14,3135825.318428426,123072.17025799639,9202,22305,69357.98478595432,7.537272852201078,0.4107325085337532
15,3132665.5870653614,124995.86489051422,9174,22348,68609.90062204524,7.478733444740053,0.3814377879817592
16,3146598.251585381,125268.14612615616,9214,22585,68067.07226445217,7.387353186938591,0.5975932595074774
17,3150518.376273652,117723.7445535928,8529,23124,63213.52693044842,7.411598889723112,0.23438786516574556
18,3166878.513689308,118479.26331632506,8613,23323,63853.34340629666,7.41360076701459,0.10088346615386878
19,3149221.1828488405,116779.36152699824,8340,23383,60789.84236734093,7.288949924141598,0.22741884231426895
20,3178332.8592753448,115833.92311361928,8471,23537,63393.538847414005,7.483595661363948,0.41313371923885106
21,3159118.040344957,118584.94995313586,8691,23248,65372.95798992528,7.521914393041684,0.24532346787919268
22,3167342.82667348,113298.3849039686,8158,23908,59198.40846659481,7.256485470286199,0.504906046815612
23,3152152.0929814023,120575.34662022865,8676,23303,61974.720963825144,7.1432366256137785,0.02187745659349627
24,3161679.11503519,116538.33110501613,8417,23634,60092.91773379051,7.139469850753298,0.2660357484977064
25,3149224.7809954,116477.77567210665,8311,23710,58659.08358089395,7.058005484405481,0.0
26,3159903.0842375723,114299.32074046886,8194,23829,58197.44422891985,7.102446208069301,0.22253359455642396
27,3151379.8383406997,118339.31642546729,8509,23719,58837.259801791835,6.914709108213872,0.29863125331200413
28,3154205.5914315376,118361.40155441058,8254,23826,55160.96200810155,6.682937001223837,0.6512806899723868
29,3137957.793936114,123777.03284004696,8875,23340,59289.21179345418,6.680474568276527,0.3124742081739855
30,3159552.754910765,120242.53429225783,8425,23851,54205.618515798975,6.433901307513231,0.33815286790945165
31,3144353.7603167105,121446.77560371817,8635,23529,56054.9633894727,6.491599697680684,0.5132804738709973
32,3159053.1983988043,122011.80278816889,8661,23642,56498.790279393856,6.523356457613885,0.24728832862824712
33,3142114.9159339657,122348.87657406605,8803,23417,57892.3010440151,6.57642860888505,0.725215940706349
34,3156522.9798203795,122473.65427312658,8653,23690,55218.95685474877,6.3814812035997655,0.36096796101066436
35,3154201.402450998,120601.82988604711,8623,23737,57735.78433421939,6.695556573607722,0.5142795810423723
