episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3802552.0923674055,191920.78108328846,15468,20505,156457.2856388646,10.11490080416761,0.43314100522604165
2,3998781.6174043664,207892.745413777,16632,21852,158688.1491460286,9.541134508539477,0.3876118483948733
3,4062815.3595690164,210430.20747200772,17055,22953,158285.31539135062,9.280874546546505,0.5365735682732394
4,4152189.6314568473,211868.00692488995,17000,24595,148182.4645876539,8.71661556397964,0.7590899745112591
5,4236759.092899073,207288.22710055817,16588,25930,144455.1167406332,8.708410702955945,0.05181836375373744
6,4293580.07299178,209428.87459299347,16724,26693,140388.88876670774,8.394456396000223,0.0665463973859598
7,4325517.236975987,211847.87986392732,17024,27075,141434.43151086895,8.307943580290704,0.4983771932809335
8,4333051.352803798,199930.40188879863,15462,28259,123555.30859617465,7.990900827588582,0.570349844189147
9,4354496.0568993725,202185.22514266474,15789,28419,124649.9287801901,7.894732331381981,0.4302979723313251
10,4358851.270837495,204757.45693847977,15957,28663,123925.10010296338,7.766190393116712,0.4350259329653551
11,4384417.7254079515,200796.8209579625,15467,29274,118229.70432637287,7.643997176334963,0.03074246849256662
12,4388866.240336155,194214.02964218037,14916,30062,112479.21651057023,7.540843155709991,0.5762147239764172
13,4429589.22098037,188537.26211585468,14449,31157,109086.6789241061,7.549773612298852,0.39269621008495387
14,4439466.462257439,188570.35653067232,14353,31408,105905.01753740903,7.378598030893126,0.3077395226059902
15,4414886.863736131,189053.11376537284,14145,31382,102136.3281404252,7.220666535201499,0.33640997261011096
16,4442158.232697714,189853.30883429223,13914,31923,95773.12864883515,6.88322040023251,0.4984261460699148
17,4455514.732831455,190469.83828633165,14014,32082,95930.51144766544,6.845334055063896,0.4608192202788415
18,4444286.283498158,190993.33909537757,13939,32082,94728.73060043807,6.79594881988938,0.45760431862023226
19,4427645.761512126,188895.0042102184,13833,32020,93667.80753818678,6.771329974567107,0.66177940275927
20,4438154.302613668,192874.41841228708,14142,31963,94106.32624480009,6.654385959892525,0.5186168648842046
21,4415233.64303875,197183.8151819544,14425,31469,95151.06025167582,6.596260676026054,0.3687988728505242
22,4443463.991092803,199079.62264098122,14557,31703,94307.59266848686,6.478504682866446,0.602948692702157
23,4430705.210942334,198415.80848805606,14497,31908,92025.28945595172,6.347885042143321,0.31470474773145357
24,4445604.157226309,196178.8033620981,14334,32116,90806.93037765977,6.335072581112025,0.24879073788582334
25,4444862.573824362,195818.48714422228,14187,32136,90140.46156886734,6.353736629933555,0.4421613914282767
26,4455324.034087507,194815.19064241034,13889,32601,84427.34600283415,6.078720282441799,0.14727631745549213
27,4438950.125666729,194346.6965064279,13982,32444,86542.51105210638,6.189565945652008,0.4261052585188402
28,4453204.970872911,194230.303238589,13752,32688,82892.80302750507,6.027690737893039,0.33252506012808875
29,4440820.134133227,194934.8613815045,13826,32564,82129.54323025436,5.940224448882856,0.4552341920629329
30,4445831.465619347,201064.61411847282,14234,32356,83809.68278965043,5.887992327501084,0.41799449898829955
31,4447376.011493318,194262.1330590256,13706,32857,80440.34782404937,5.8689878756784895,0.19789425439109537
32,4456841.636437279,197231.24794191628,13856,32908,79757.9900553292,5.7562059797437355,0.502550040099011
33,4457456.156546635,199467.35090601648,13976,32802,78965.86178091828,5.6501045922236885,0.4170473640072917
34,4470094.001017382,197952.43413820874,13830,32978,78010.45112212798,5.6406689170013005,0.5382584900646289
35,4446885.338624478,198304.89595777384,13804,32769,76867.36529134966,5.568484880567202,0.3637526780027332
36,4470435.509720854,195831.75198563567,13619,33219,73840.76666179618,5.421893432836198,0.4228973927809504
