episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3950002.0823997413,204903.47173095372,16538,20847,165034.40298289023,9.979102852998562,0.2452948021047204
2,4116146.691026191,213342.11629553186,17077,22690,164107.61414044644,9.609862044881798,0.5879784272690793
3,4295462.703232895,228120.8321659255,18377,24188,165218.14499230968,8.990485116847672,0.10956382635983186
4,4402802.6913682455,241166.36752695814,19522,24643,171450.86793437612,8.782443803625455,0.39541395625401954
5,4510893.6732163215,242785.01037457798,19143,26217,160776.30096241977,8.398699313713617,0.31568876455741157
6,4541228.660599716,248992.23669704085,19483,26508,160728.83111894375,8.249696202789291,0.22389752173753102
7,4619676.383728186,244972.04052710283,19004,27463,155369.54170706353,8.175623116557752,0.18415098656835407
8,4624360.072465741,243430.23981743137,18610,27898,147914.18314586687,7.948102264689246,0.4218641035035288
9,4683339.38438247,235137.2174119656,17953,29079,141094.1917482835,7.859087158039521,0.10389184423702319
10,4749305.473966546,237099.66825924904,17767,29980,137872.78996430733,7.760048965177426,0.6246174392131401
11,4802258.272090639,248756.5099114204,18582,29998,139848.4729600146,7.52601834894062,0.561165346387989
12,4737172.735445464,244044.2211938601,18200,29668,138474.50841744582,7.608489473486034,0.4588738805796662
13,4748477.63898708,248041.38865805126,18233,29823,132664.16912509358,7.276047228930707,0.325362517836026
14,4822991.914893613,257645.92938996406,19086,30277,137839.59749268598,7.222026484998741,0.49119822320604034
15,4802485.282265112,253447.30839785098,18405,30758,124619.5632780111,6.77096241662652,0.5396653725115217
16,4839229.202205542,260565.77986507548,19060,30708,129168.72664090506,6.7769531291135925,0.457427683140697
17,4847152.792068285,262896.1874221371,19136,30990,127025.59240460474,6.638043081344311,0.6772640210741985
18,4827959.243419881,257595.26632933394,18664,31132,123666.75159432743,6.62595111414099,0.10575279435093105
19,4878270.3793424675,259871.22623867463,18820,31451,124935.20623188558,6.638427536231965,0.46098907517576954
20,4851835.665445142,260539.96460534062,18814,31339,123085.02551484732,6.542203971236702,0.2812851436827344
21,4883522.280718657,259409.0607839657,18585,31913,118984.23176600227,6.402164743933402,0.37385555571927404
22,4905160.69037327,266762.22378961986,19088,32003,119853.34762476447,6.278989292998977,0.29700619780497306
23,4912879.7520013945,264549.65598266077,18807,32214,118669.12978479435,6.309838346615321,0.43306089047660484
24,4901594.636593066,261044.4894108639,18343,32541,112569.30895897024,6.13690830065803,0.3711828918914387
25,4920963.383433446,257953.7246355436,18069,32951,110508.46909676491,6.115915053227345,0.5940290690798623
