episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3845465.3420317112,190339.63131648613,11173,23563,66833.21080403836,5.981671064533998,0.8
2,4128421.9349119524,187221.8062845255,11586,26645,77624.32083919136,6.6998378076291525,0.0
3,4407680.461172258,166935.2082714992,11356,29942,97073.727464863,8.548232429100299,0.032941714849422106
4,4614471.143087588,141316.86152522863,10822,32914,113344.42163279768,10.473518908963008,0.8
5,4799889.371704516,132074.16730553668,10946,35178,125950.45114647695,11.506527603368989,0.0
6,4884749.325560521,136313.39469435328,11435,36007,130365.74231540991,11.40058962093659,0.8
7,4971307.704234684,128669.74375101083,11523,37016,140298.46357111688,12.175515366754915,0.1904949232952769
8,4983389.88586634,127092.4814442164,11677,37456,145149.88356086396,12.43040880027952,0.4335569893092201
9,5024105.095974777,125012.9921415193,11826,38114,150138.10651027376,12.695595003405527,0.11489638190216198
10,5062336.658180953,119065.37363976434,11675,38569,153848.33331005866,13.177587435551063,0.8
11,5071146.597717333,113580.77616231119,11749,38964,160816.30914941855,13.687659302869909,0.09523199881937622
12,5079611.181584145,112405.20918289231,11733,39189,159932.6612697453,13.631011784688084,0.8
13,5103303.6804882,113444.35851757793,11934,39524,163788.16223040983,13.724498259628778,0.8
14,5131717.976983808,113503.98274015107,12256,39603,171345.09354296039,13.980506979680188,0.0
15,5173609.498787386,108499.0573334316,12202,40071,175598.12301881044,14.390929603246224,0.8
16,5181467.1622796375,107427.00079603816,12135,40410,174737.64944512726,14.399476674505749,0.0
17,5161787.518778273,111356.05084908252,12554,39879,179226.08448453483,14.276412656088484,0.0
18,5193275.237824191,104881.56781195148,12440,40326,184317.20846578584,14.816495857378282,0.8
19,5157147.515293134,105637.22830408042,12239,40126,178768.92121909477,14.606497362455656,0.8
20,5151916.178685836,102383.64729743311,12377,40200,183219.52357196237,14.803225625916003,0.8
21,5202235.97241906,105395.09600148791,12616,40506,185159.309885671,14.676546439891489,0.19643869228458716
22,5190426.0240957355,105557.36856566327,12647,40305,187094.2070786221,14.793564250701518,0.3982753060542767
23,5199993.468717795,100565.41255476173,12462,40795,187601.93291741842,15.053918545772623,0.2007363163867652
