episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3499390.3671016693,177889.4746997975,14489,18483,146931.2107574117,10.140880030189226,0.3700710416381618
2,3567274.6365935304,182122.5711911899,14802,19135,148350.28640905803,10.022313633904744,0.721234866466975
3,3591666.145165913,187112.94470924168,15445,19502,147108.4094929766,9.524662317447499,0.5776884966017057
4,3647101.782416763,191172.4972392792,15447,20305,139094.25510633472,9.00461287669675,0.055311867028668193
5,3657566.087406353,191892.18291620197,15224,21207,130252.65547297623,8.555744579149778,0.17584328149310935
6,3702513.1478972803,180433.03714719898,14214,22569,119538.48995333837,8.409912055251047,0.31093104148438067
7,3679832.3410102427,181355.92078290647,14187,22776,116444.8115707226,8.207853074696736,0.6171125859041255
8,3727503.525664759,181382.77900013345,14260,23226,117311.85670417295,8.226637917543686,0.31339525100471105
9,3733583.6125828056,184639.95569406502,14433,23353,115747.98795864203,8.019676294508558,0.47975716421093434
10,3748919.496188162,192184.7617114333,15057,23119,119639.85501000563,7.945796308029862,0.7983938405800896
11,3744952.965720086,187483.06732435132,14436,23564,111251.33878633425,7.706521112935318,0.31632341445169704
12,3763085.8400831986,187672.92689264237,14614,23721,114635.46646668942,7.844222421423938,0.5871210216770881
13,3789261.7644047244,190060.16603435535,14539,24210,108547.03193290388,7.465921448029705,0.4367061472764368
14,3815510.797099828,181521.51310332955,13756,24899,104682.73330315389,7.609968981037648,0.2033045866060405
15,3834211.2923494796,184603.56978484115,13958,25022,103055.31698595901,7.383243801831137,0.31715170649637
16,3794763.0620716694,190191.57677580335,14380,24484,104450.14649508466,7.263570688114371,0.5038096798951841
17,3793609.2099170266,182526.17746866928,13825,24901,100666.66852110086,7.281495010567874,0.39355200701682747
18,3772943.777196697,188578.80749734677,14345,24476,102478.65075335262,7.143858539794536,0.6043222337022467
19,3780013.01052469,187110.72203744133,14157,24908,98765.69844892278,6.976456766894312,0.4096457064738416
20,3821903.925250109,184297.38190789655,13912,25388,97359.68271870034,6.99825206431141,0.6057232200619204
21,3826656.71440007,181002.52579744486,13533,25711,95021.00533185777,7.02142949322824,0.3301208439012773
22,3835355.4531764532,174207.98071169693,13018,26353,90381.42049270471,6.9428038479570375,0.6817730070393102
23,3859261.878974108,173475.96149426128,12824,26733,87301.73196292651,6.807683403222591,0.3477764701986811
