episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3653948.340506998,179647.1959602478,14362,19819,144142.30522425304,10.036367165036419,0.44107733886498124
2,3743532.5237561604,182135.01635459415,14504,20869,140607.47292978334,9.694392783355166,0.3878644458652371
3,3773042.8073879885,187638.40824627635,15238,21289,143916.172343567,9.444557838533076,0.22926608617616576
4,3838885.179548508,183751.76400028847,15029,22630,137198.7467805897,9.128933846602548,0.5481001272955598
5,3866659.2682100497,181952.073040187,14790,23638,130286.6577179838,8.80910464624637,0.5292459429437562
6,3894966.144551093,189428.29895716143,15246,23815,131532.16174541085,8.627322690896685,0.6240021594153983
7,3895136.1365028163,181253.4760366612,14715,24718,126140.34052869931,8.57222837435945,0.49390863852067146
8,3922875.6873164116,174042.96721374756,13562,26039,110359.40540471111,8.137399012292517,0.3330441654434342
9,3953988.378051336,175242.17202365608,14124,25940,122698.31196916226,8.687221181617266,0.610319031139527
10,3970915.910772838,166096.55102151018,13073,27082,109905.4361801498,8.40705547159411,0.10117115696142154
11,4012882.5622270913,172131.82280494328,13663,27262,113554.6040944484,8.31110327852217,0.21941653222835616
12,4009226.5303806653,168923.1541865777,13396,27521,109878.5428818987,8.202339719460936,0.4395186246941134
13,4031363.9449939574,168244.51590105888,13188,28035,105914.13307032739,8.031098958926856,0.21720621715038024
14,4019696.463439909,170276.5205742632,13379,27600,106694.45241254604,7.97477034251783,0.4961759203360157
15,4015555.5320090647,171999.831174381,13466,27829,105894.97326603637,7.863877414676694,0.24928612876006662
16,4037404.7096385807,166366.72996894366,12687,28564,98040.53205655389,7.727637113309205,0.38463883679865585
17,4035949.622374993,170785.2125393657,13170,28310,100144.34003190298,7.603974186173347,0.27633876501166627
18,4036123.6331025055,168845.66794121068,12994,28579,98298.35018307608,7.564903046257971,0.23155914168900948
19,4054381.3644815967,171480.16978836636,13149,28725,97849.31447311475,7.441578406959826,0.5321508631733034
20,4044701.616767096,172386.3194749111,13039,28799,94455.39934082903,7.244067746056372,0.19832012688018438
21,4066343.2672457867,170806.89798944967,13014,28942,96112.53005971921,7.385318123537668,0.3488151424597646
22,4079640.900480476,171940.1063773006,13018,29255,93690.71413245733,7.197012915383111,0.37775397616999623
23,4092139.777476616,168220.2757936544,12533,29713,88082.39418029723,7.028037515383167,0.3778584431274533
24,4071915.1351739075,170897.83370451603,13016,29198,93465.83623070407,7.180841750976034,0.5027617941287175
25,4066322.110363938,173523.8235889542,12986,29206,90677.84136534196,6.982738438729552,0.3449600784775015
26,4075968.7645114693,172650.48396695039,12885,29368,89000.74698033444,6.907314472668563,0.47693164184873943
27,4044826.067876093,175592.19714897953,13229,29062,90261.88601895081,6.823031674272493,0.3427062244458108
28,4068442.9162513353,171072.29683587688,12787,29702,86051.75186456167,6.729627892747452,0.4488569798828692
29,4041147.9581134077,174770.46267350618,12994,29253,85416.69061602371,6.57354860828257,0.37044251509390813
30,4077064.6621125294,174989.56946846528,13007,29709,85106.42642332698,6.54312496527462,0.26690541700798515
31,4043508.7720979587,174510.11060834437,12889,29589,82675.00759099238,6.414384947706756,0.46895451935591537
32,4029377.5317824055,176115.95957015725,13026,29428,82975.31674350971,6.369976719139391,0.7534755061842862
33,4067700.648497489,177299.3059198442,13247,29575,85817.70984722194,6.478275069617418,0.40685783729716474
34,4065711.3604391995,176060.22926204235,12990,29917,83249.66150036098,6.4087499230454945,0.5692453367798149
