episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3896094.5425325925,191315.99397832176,15270,21161,153676.97924187855,10.063980303986808,0.8
2,4026157.7408903395,193957.04792402853,15909,22499,158565.17640515222,9.96701089981471,0.39315062612658924
3,4151991.0589216216,196670.5041886516,16232,24168,155871.06876503842,9.602702609970331,0.7788282368810524
4,4331746.6928223735,193870.89002758832,15552,26873,141134.11195887887,9.074981478837376,0.15072817938419056
5,4356468.243973825,203415.8557695889,16261,27098,143533.96796020385,8.82688444500362,0.514302782023073
6,4433470.132987852,194844.72752858588,14997,28952,126178.05220259383,8.413552857411071,0.8
7,4481486.705900239,193265.1395858762,14977,29893,124468.61667877279,8.310650776442063,0.43297949512313083
8,4478588.0654984955,189871.1997396604,14324,30509,115493.65529863855,8.062947172482446,0.36118462512405003
9,4511835.437033749,192130.24076314032,14394,30898,112527.76689038113,7.8176856252870035,0.3013869953408233
10,4522798.144758864,182945.8807872047,13562,31777,105728.71104623917,7.795952738994187,0.43082743200621987
11,4535632.620532911,194611.50383089768,14288,31372,108917.13366140341,7.622979679549511,0.31858530045095473
12,4548012.26353132,180415.1766417416,12968,32525,97456.43810072531,7.515147910296523,0.6073459697224011
13,4608934.715321877,184776.1109387939,13267,33020,97765.18655468451,7.369050015428093,0.34173299528708023
14,4598565.557867633,188420.54692091548,13387,32762,95328.35592757173,7.120964811202788,0.09895201393859965
15,4622117.596946319,183885.44941234204,12743,33409,88648.68213038296,6.956657155331002,0.2811197310960337
16,4629352.301462561,188071.42790977997,13125,33295,90903.5944496025,6.925988148541143,0.269725549369598
17,4614156.192590567,194214.6088081705,13536,32921,89812.62796897176,6.6350936738306565,0.43890295769958315
18,4630157.761520801,191511.13703061768,13328,33355,87770.08230300772,6.585390328857121,0.42787691013157486
19,4657653.380643582,192199.24357918728,13337,33604,89390.73190818034,6.7024617161415865,0.36437065253130607
20,4633790.431021917,191807.16051446687,13264,33424,86785.34468346745,6.542924056353095,0.31155828979143374
21,4631708.521320909,190778.99192147513,13226,33465,87512.07661187196,6.61666993889853,0.6124285033069218
22,4641904.457420794,192576.7307799404,13304,33645,86030.25866646718,6.466495690504148,0.5658216188981848
23,4630675.368512258,189730.08354055617,13097,33631,85396.87578971684,6.520338687464063,0.36969224099532344
24,4650432.567493269,189491.9450859177,12985,34117,82919.66900133918,6.385804312771596,0.2901540954057008
25,4645822.712204234,185202.15901649435,12783,34477,81602.50324154022,6.383673882620686,0.532424082745983
26,4615139.442215799,191329.93159733433,13100,34240,81207.82038723057,6.199070258567219,0.5240272036946974
27,4642116.731114527,190171.5502049784,13053,34707,79479.40917921308,6.088976417621472,0.48479930636393115
28,4623638.449436794,190777.25657473417,12967,34472,78214.11141011147,6.031781553953225,0.24163158176839
29,4635643.612420925,189858.61132756755,13058,34694,79820.06559673132,6.112732853172869,0.41748362340296175
30,4629457.43745828,191474.0115614303,12978,34803,77151.47680588404,5.94478939789521,0.4277335310121316
31,4630842.910126402,191604.0501323059,13069,34753,78650.00265300595,6.018058202846886,0.5539173362979595
32,4644097.428410648,193069.14173383385,12968,34978,74155.52309458492,5.718346938200565,0.4496927663172258
33,4617570.90768929,196300.99716787954,13306,34435,75930.38271621783,5.706476981528471,0.07909293995572625
34,4625817.916692456,200222.02001391375,13526,34339,75292.18701247312,5.56647841286952,0.36672109105498696
35,4607747.527463705,200729.2880379694,13493,34255,74403.71555508909,5.514245575860749,0.38953663572686903
36,4619485.090457313,199687.75925955435,13459,34409,73859.33565392382,5.487728334491702,0.2791037434350794
37,4640775.4731936995,191151.3369565662,12775,35092,70804.66734275421,5.5424397137185295,0.3326945514416364
38,4624295.208482254,194812.23917942148,13149,34762,73808.98899117457,5.613277739080886,0.6040814164356118
