episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3973140.4966097157,198808.41446268265,15496,21660,151638.4827078937,9.785653246508371,0.62398756720163
2,4096930.184814945,202764.3862741877,16293,22861,160661.50151215584,9.860768520969486,0.32886573160757937
3,4333267.577269369,199425.57217098982,16048,25832,153226.25379850707,9.547996871791318,0.4008105843405869
4,4423621.9370303,205486.41772443592,16356,26990,152305.38635487136,9.311896940258704,0.18902118781701832
5,4538665.990515612,211175.90370415634,16638,28203,150520.17476021583,9.046770931615328,0.22247057638748108
6,4649743.630395506,212102.05552730558,16463,29475,144370.22038054693,8.769374985151366,0.35954975661812905
7,4662029.482220295,212909.1424998038,16597,29897,143455.82276123058,8.643479108346725,0.4530680606429939
8,4740298.583566326,205898.41843243953,15909,31178,138286.0299391934,8.692314409403068,0.5991509968478628
9,4761174.125923693,208072.52175275754,15960,31420,135348.09371364603,8.48045699960188,0.6445752339806291
10,4801679.0048846975,216159.39880156025,16615,31653,138349.4415134955,8.326779507282305,0.03711840212097389
11,4860742.19561865,211797.2369543104,16056,32907,130616.55333413524,8.13506186684948,0.3283597879633489
12,4865111.105031465,212567.15692165215,15901,33092,126495.56366480686,7.955195501214192,0.41652376263214
13,4900289.207844548,212502.39561853895,15775,33607,123567.39284464094,7.833115235793404,0.0
14,4908287.049925705,216775.59423970422,15989,33774,122685.90598857915,7.673144411068806,0.560457022872872
15,4954035.9663088955,216517.9118748378,15629,34549,116206.08115610025,7.435285760835642,0.23860006014618826
16,4922321.837330152,216738.61096486647,15726,34097,116398.47599949037,7.401658145713492,0.21448930566337912
17,4961911.528963076,219996.52775319925,15781,34546,114536.1048327583,7.257848351356587,0.6663716091192444
18,4986686.056863786,219515.85558467402,15718,35018,111627.87323183732,7.101913298882639,0.43821301968652826
19,4992610.365136131,223155.7018110171,15851,34873,111456.68943704896,7.031524158541982,0.5823005414433243
20,5010585.05372179,227598.5618955643,16043,34908,110407.3600680031,6.881964724054297,0.19238089294818392
21,4994501.958336632,226614.33268607451,16086,34665,111131.54193221821,6.908587711812645,0.2920826772420063
22,5005045.433243476,229365.49414862457,16207,34919,109348.74748390807,6.747007310662557,0.5681379681756533
23,5025942.026197325,231920.04160325337,16314,35028,108474.95886568965,6.649194487292488,0.38814034915058393
24,4997937.012254618,228691.8627345455,16065,35205,105828.97890740933,6.587549262832825,0.39045863816075843
25,5015216.812562147,232121.39597624124,16067,35329,101437.69036401207,6.313418209000565,0.24519977534842302
26,5002810.955189505,230630.5426811686,16081,35244,104729.54353556715,6.512626300327539,0.35080804589697756
27,5058961.891533564,233612.76763237457,16112,35680,102804.4839282158,6.380615933975658,0.3248060163705
28,5042819.42167877,228104.8609975674,15557,35957,97965.35539875983,6.297188108167373,0.533748298873488
