state,visit_count,best_action,best_subsidy,best_q_value,avg_q_value,q_action_0,q_action_1,q_action_2,q_action_3,q_action_4
0,968.0,0,0.0,0.017220183498107226,0.006555209258789801,0.017220183498107226,0.004444078680066043,0.004216302439687122,0.003626261347826145,0.003269220328262473
1,9.0,2,0.4,0.0011010052753264786,0.00031810109613397155,0.0001331833773893379,0.0003239343459969274,0.0011010052753264786,0.0,3.2382481957113734e-05
3,735.0,1,0.2,0.014020286883282735,0.005163295941542934,0.003824778914188841,0.014020286883282735,0.0030061316326786386,0.0026589091498789466,0.0023063731276855124
4,4.0,3,0.6,0.0009848620061982283,0.00019697240123964566,0.0,0.0,0.0,0.0009848620061982283,0.0
6,310.0,0,0.0,0.011239259507413564,0.0033250505298708074,0.011239259507413564,0.0016034176733721677,0.0014727073701797052,0.0013285415134643827,0.0009813265849242191
7,6.0,0,0.0,0.0011693085933028927,0.0002386901919455788,0.0011693085933028927,0.0,0.0,2.414236642500115e-05,0.0
9,215.0,0,0.0,0.007660974300064156,0.002389036350093958,0.007660974300064156,0.0012848328710749848,0.0011832470742000778,0.0011163830481080426,0.0006997444570225283
10,11.0,0,0.0,0.0016269392977998007,0.00041885532054679683,0.0016269392977998007,0.00016812894540413201,0.00012529405408459376,0.0001739143054454577,0.0
12,32.0,1,0.2,0.0013209910192834152,0.00035669604466482944,0.00018870408745678475,0.0013209910192834152,6.383745243274813e-05,0.00016433640696447368,4.5611257186725334e-05
15,13.0,0,0.0,0.00046292155889615,0.00016458620162869113,0.00046292155889615,0.00014228706835969228,2.0135972639967122e-05,0.00010453066475054254,9.305574349710374e-05
18,380.0,0,0.0,0.012132625337670233,0.0037316352820284788,0.012132625337670233,0.0020001571515963386,0.0015815716114973772,0.0014840931486032971,0.0014597291607751461
19,850.0,0,0.0,0.04360216167861117,0.015863008409662944,0.04360216167861117,0.01060763371013889,0.009245719197796085,0.008323603934992775,0.007535923526775799
20,13.0,1,0.2,0.003666801437448137,0.0008512747111668601,0.00035876987727834366,0.003666801437448137,9.454693847339593e-05,9.65562469316094e-05,3.969905570281429e-05
21,350.0,0,0.0,0.010532090977434908,0.003130663173071085,0.010532090977434908,0.0016472700751589723,0.0014025757625503006,0.0010899658081817813,0.0009814132420294611
22,490.0,0,0.0,0.03506517915013977,0.01094728723149701,0.03506517915013977,0.006026941823653474,0.005114355883935698,0.004711044727605582,0.003818914572150528
23,20.0,0,0.0,0.004057826030919957,0.001087074264571359,0.004057826030919957,0.00026924530479552073,0.0004184998705866038,0.00032658366104757684,0.0003632164555071359
24,588.0,0,0.0,0.015804228437505185,0.005324388737095423,0.015804228437505185,0.0034168262136417913,0.00267920549816028,0.002424216577759472,0.0022974669584103842
25,674.0,0,0.0,0.04110366692726226,0.013347205244665778,0.04110366692726226,0.007849387283626167,0.006858540316726259,0.005626673466798152,0.005297758228916049
26,37.0,1,0.2,0.007633310012556409,0.002053785123405515,0.0005866532513159265,0.007633310012556409,0.0007720001536166402,0.0005140406008868984,0.0007629215986516984
27,394.0,0,0.0,0.010282891685160412,0.0033659599464939106,0.010282891685160412,0.0019944410321623613,0.0017076910435894347,0.0015362742334435857,0.0013085017381137608
28,639.0,0,0.0,0.04167136600674164,0.013993141299000578,0.04167136600674164,0.00796585360701671,0.007626663678784771,0.006857669575740896,0.005844153626718855
29,28.0,1,0.2,0.0059088153949337155,0.0013884413037404974,0.0003622973139820706,0.0059088153949337155,0.00022187567596838845,0.0002355697042744635,0.00021364842954384926
30,24.0,2,0.4,0.0007093262951424257,0.00025462079629505816,0.00019889528692825387,0.00016912529684947795,0.0007093262951424257,0.00013856160937793287,5.719549317720052e-05
31,24.0,0,0.0,0.0017025081786355095,0.000565438127807996,0.0017025081786355095,0.0004109041754107547,0.0002529152704886027,0.000228158190087134,0.0002327048244179788
32,1.0,1,0.2,0.0003723796567226012,7.447593134452024e-05,0.0,0.0003723796567226012,0.0,0.0,0.0
33,29.0,0,0.0,0.0011840746996657438,0.00036216436678742205,0.0011840746996657438,0.00014116585500069574,0.00012922809431109212,0.00018708041371251282,0.0001692727712470657
34,33.0,0,0.0,0.0052065525984149146,0.0013516663168822373,0.0052065525984149146,0.00045529679559140086,0.00026796129378884687,0.0006595090446418055,0.00016901185197421755
35,2.0,0,0.0,0.0008871674769093026,0.00017743349538186054,0.0008871674769093026,0.0,0.0,0.0,0.0
36,549.0,0,0.0,0.017010721499666516,0.0057800612126238035,0.017010721499666516,0.003943044574124835,0.0033232020584114184,0.0025291143981180306,0.002094223532798219
37,581.0,0,0.0,0.040348610840268265,0.014573916352625343,0.040348610840268265,0.00980650908296194,0.008675864062982909,0.007484659745793261,0.006553938031120332
38,651.0,0,0.0,0.04641603397639426,0.016974467845229876,0.04641603397639426,0.01148290347498983,0.010472958797837243,0.008974785512069417,0.007525657464858643
39,349.0,0,0.0,0.00928028610226386,0.0028671866133840535,0.00928028610226386,0.0015937282270248217,0.0014751475699211966,0.0010079497051552013,0.000978821462555188
40,544.0,0,0.0,0.03804428954571554,0.014030574045750513,0.03804428954571554,0.009660441142934075,0.00829434410531238,0.007653796429419548,0.006499999005371027
