state,visit_count,best_action,best_subsidy,best_q_value,avg_q_value,q_action_0,q_action_1,q_action_2,q_action_3,q_action_4
0,195.0,0,0.0,901.6219330561878,181.14799164735453,901.6219330561878,0.8315886795744,1.8664379712000003,1.130302529810392,0.2896959999999999
1,3.0,0,0.0,89.12597919281717,17.825195838563435,89.12597919281717,0.0,0.0,0.0,0.0
3,84.0,1,0.2,630.7483350224511,126.51411370156409,0.6241800000000001,630.7483350224511,0.4294458795744001,0.513005895795,0.25560171000000004
6,1033.0,0,0.0,981.0032330455188,196.8606950376474,981.0032330455188,1.1835886795744,1.4080000000000001,0.5495025298103918,0.15915093333333333
7,1.0,4,0.8,12.741960266252939,2.5483920532505877,0.0,0.0,0.0,0.0,12.741960266252939
9,809.0,0,0.0,969.2356601596166,194.50106719103744,969.2356601596166,1.062284295795,0.8145549,0.9453814675500001,0.4474551322256143
10,6.0,0,0.0,209.9089616098405,45.27127311836555,209.9089616098405,0.0,0.0,16.44740398198722,0.0
12,7.0,3,0.6,16.454043837390614,4.842205478020473,1.892061402422118,1.7458238978778162,2.7358990320585717,16.454043837390614,1.3831992203532466
18,634.0,0,0.0,840.4141899430255,169.03583555618962,840.4141899430255,1.8909066901256306,1.4695118775017022,0.8317821818997793,0.5727870883955951
19,530.0,1,0.2,1577.9415254926612,316.25751193485223,1.2126670908000001,1577.9415254926612,0.6335999999999999,1.0032,0.49656709079999983
20,26.0,2,0.4,779.058038039753,171.36590154413875,29.144518291194714,36.67959492103194,779.058038039753,7.686228854772978,4.2611276139411896
21,730.0,1,0.2,751.8847463472997,151.15623417233627,1.5736063865402565,751.8847463472997,0.8175354932510044,1.1098079444647344,0.3954746901256309
22,359.0,3,0.6,1510.661723745798,302.9063593391596,0.9367000000000001,1.0336000000000003,1.3081500000000001,1510.661723745798,0.59162295
23,26.0,2,0.4,659.2349440682436,147.4513893542531,3.8506159493491086,28.76431304714062,659.2349440682436,27.851250219009156,17.55582348752307
24,461.0,0,0.0,909.5760642874009,183.1862693337257,909.5760642874009,2.5868454255847655,1.3475892180040387,1.0880666666666667,1.3327810709721932
25,910.0,0,0.0,1641.5030898072507,329.3726994236987,1641.5030898072507,1.521587925,1.061240322285,1.970856113957809,0.8067229499999998
26,26.0,2,0.4,558.0831201408538,116.53069084890674,15.151854692896435,2.3471359734595496,558.0831201408538,5.182305486134438,1.889037951189507
27,141.0,1,0.2,622.4352008175065,125.28506106798065,1.530665965640816,622.4352008175065,1.12090839678416,1.1339301599717773,0.20459999999999995
28,686.0,0,0.0,1641.8084336456716,329.8002443067245,1641.8084336456716,2.5042786022875005,1.760987925,2.5883713606632313,0.33915000000000006
29,14.0,0,0.0,343.8013746113605,100.48147054429826,343.8013746113605,38.39982807402724,40.22397560561885,34.4818731621824,45.50030126830233
30,13.0,2,0.4,156.95394033095815,36.356005158524134,2.7141463098996534,2.603143473606983,156.95394033095815,5.465636169969444,14.043159508186456
31,4.0,0,0.0,12.387766703562363,3.159155234694447,12.387766703562363,3.408009469909873,0.0,0.0,0.0
32,4.0,1,0.2,183.6177336756066,36.72354673512132,0.0,183.6177336756066,0.0,0.0,0.0
33,2.0,4,0.8,26.71609729155106,7.194504141728585,0.0,9.256423417091865,0.0,0.0,26.71609729155106
34,2.0,0,0.0,9.95115987390311,1.990231974780622,9.95115987390311,0.0,0.0,0.0,0.0
36,746.0,1,0.2,786.7427004152132,157.943658368836,1.33,786.7427004152132,0.559835,0.4771244889666666,0.60863194
37,178.0,0,0.0,1403.0790879031968,282.4804522624607,1403.0790879031968,2.8461575454677095,3.6563353111502366,2.0783911206772974,0.7422894318112829
